Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
1314,Dumar Kachhar,N.A.C.,21,Orissa,19,Ganjam
1315,Dumarkunda,T.C.,18,Assam,14,Tinsukia
1316,Dumdum,C.T.,18,Assam,14,Tinsukia
1317,Dumka,C.T.,27,Maharashtra,9,Nagpur
1318,Dumra,C.T.,23,Madhya Pradesh,43,Chhindwara
1319,Dumraon,N.A.,10,Bihar,17,Saran
1320,Dundahera,C.T.,19,West Bengal,9,Barddhaman 
1321,Dungamal,M.Cl.,27,Maharashtra,14,Yavatmal
1322,Dungargarh,C.T.,24,Gujarat,10,Jamnagar
1323,Dungarpur,N.P.,23,Madhya Pradesh,18,Neemuch
1324,Dungra,N.P.,9,Uttar Pradesh,65,Ghazipur
1325,Durg,T.C.,13,Nagaland,6,Dimapur
1326,Durga Nagar Part-V,C.T.,18,Assam,10,Nagaon
1327,Durgapur,M.Cl.,3,Punjab,1,Gurdaspur
1328,Durllabhganj,C.B.,10,Bihar,28,Patna
1329,Duru-Verinag,M,10,Bihar,28,Patna
1330,Dusi,M,33,Tamil Nadu,13,Dindigul
1331,Dwarahat,N.P.,23,Madhya Pradesh,41,Dindori
1332,Dwarka,N.P.,5,Uttaranchal,12,Udham Singh Nagar
1333,Dyane,M,19,West Bengal,3,Koch Bihar 
1334,Edaganasalai,T.C.,18,Assam,19,Karbi Anglong
1335,Edaikodu,C.T.,22,Chhattisgarh,5,Korba
1336,Edakalinadu,N.P.,3,Punjab,16,Sangrur
1337,Edappadi,M.Cl.,25,Daman & Diu *,1,Diu
1338,Edathala,T.C.,18,Assam,10,Nagaon
1339,Eddumailaram,C.M.C,29,Karnataka,21,Bangalore Rural
1340,Egarkunr,N.A.C.,1,Jammu & Kashmir,9,Doda
1341,Egra,M.B.,5,Uttaranchal,6,Garhwal
1342,Ekambara kuppam,N.P.,9,Uttar Pradesh,8,Baghpat
1343,Ekdil,M,24,Gujarat,18,Dohad
1344,Eklahare,N.P.,9,Uttar Pradesh,62,Mau
1345,Eksara,N.P.,5,Uttaranchal,5,Dehradun
1346,Elathur,T.C.,18,Assam,19,Karbi Anglong
1347,Elayavoor,C.T.,23,Madhya Pradesh,16,Shahdol
1348,Elayirampannai,C.T.,19,West Bengal,16,Haora 
1349,Ellenabad,C.T.,28,Andhra Pradesh,20,Cuddapah
1350,Eloor,M.Cl.,27,Maharashtra,2,Dhule
1351,Elumalai,M,23,Madhya Pradesh,43,Chhindwara
1352,Eluru,N.P.,22,Chhattisgarh,9,Rajnandgaon
1353,English Bazar,M,22,Chhattisgarh,9,Rajnandgaon
1354,Eral,C.T.,29,Karnataka,12,Bellary
1355,Erandol,T.C.,18,Assam,19,Karbi Anglong
1356,Eranholi,T.C.,18,Assam,14,Tinsukia
1357,Eraniel,N.P.,9,Uttar Pradesh,49,Sultanpur
1358,Erattupetta,C.T.,28,Andhra Pradesh,14,East Godavari
1359,Erich,M,19,West Bengal,8,Birbhum
1360,Eriodu,M.Cl.,27,Maharashtra,30,Solapur
1361,Erode,N.P.,9,Uttar Pradesh,70,Sonbhadra
1362,Erumaipatti,C.T.,20,Jharkhand,13,Bokaro
1363,Eruvadi,C.T.,9,Uttar Pradesh,66,Chandauli
1364,Etah,C.T.,18,Assam,15,Dibrugarh
1365,Etawah,C.T.,18,Assam,15,Dibrugarh
1366,Ethapur,C.T.,23,Madhya Pradesh,16,Shahdol
1367,Etmadpur,C.T.,20,Jharkhand,12,Dhanbad
1368,Ettayapuram,M,19,West Bengal,11,North Twentyfour Parganas
1369,Ettimadai,M,20,Jharkhand,11,Dumka
1370,Ezhudesam,N.A.,10,Bihar,4,Sitamarhi
1371,Faizabad,M,10,Bihar,30,Buxar
1372,Faizganj,C.T.,6,Haryana,18,Gurgaon
1373,Faizpur,C.T.,21,Orissa,17,Khordha
1374,Falakata,M,8,Rajasthan,4,Churu
1375,Farah,M,8,Rajasthan,27,Dungarpur
1376,Farakhpur,C.T.,24,Gujarat,25,Valsad
1377,Faridabad,M.Corp.,22,Chhattisgarh,10,Durg
1378,Faridkot,C.T.,18,Assam,21,Cachar
1379,Faridnagar,M.Corp.,19,West Bengal,9,Barddhaman 
1380,Faridpur,C.T.,27,Maharashtra,13,Chandrapur
1381,Fariha,C.T.,19,West Bengal,15,Medinipur 
1382,Farooqnagar,N.A.C.,1,Jammu & Kashmir,6,Anantnag
1383,Farrakka Barrage Township,C.T.,33,Tamil Nadu,6,Tiruvanamalai
1384,Farrukhabad-cum-Fatehgarh,N.P.,5,Uttaranchal,9,Almora
1385,Farrukhnagar,M,24,Gujarat,10,Jamnagar
1386,Fatehabad,C.T.,27,Maharashtra,20,Nashik
1387,Fatehganj Pashchimi,T.P.,33,Tamil Nadu,8,Salem
1388,Fatehganj Purvi,T.P.,33,Tamil Nadu,30,Kanniyakumari
1389,Fatehgarh,T.P.,33,Tamil Nadu,3,Kancheepuram
1390,Fatehgarh Churian,M,33,Tamil Nadu,8,Salem
1391,Fatehnagar,C.T.,32,Kerala,8,Ernakulam
1392,Fatehpur,C.T.,28,Andhra Pradesh,4,Medak
1393,Fatehpur Chaurasi,C.T.,20,Jharkhand,12,Dhanbad
1394,Fatehpur Sikri,M,19,West Bengal,15,Medinipur 
1395,Fatellapur,C.T.,28,Andhra Pradesh,23,Chittoor
1396,Fatwah,N.P.,9,Uttar Pradesh,31,Etawah
1397,Fazilka,C.T.,27,Maharashtra,20,Nashik
1398,Feroke,C.T.,19,West Bengal,16,Haora 
1399,Ferozepur Jhirka,T.P.,33,Tamil Nadu,10,Erode
1400,Fertilzer Corporation of IndiaTownship,C.T.,32,Kerala,2,Kannur
1401,Fiozpur,T.P.,33,Tamil Nadu,26,Virudhunagar
1402,Firozabad,M.C.,6,Haryana,11,Sirsa
1403,Firozpur Cantt.,C.T.,32,Kerala,8,Ernakulam
1404,Forbesganj,T.P.,33,Tamil Nadu,24,Madurai
1405,Freelandgunj,M,28,Andhra Pradesh,15,West Godavari
1406,Frezarpur,M,19,West Bengal,6,Maldah 
1407,FRI and College Area,T.P.,33,Tamil Nadu,28,Toothukudi
1408,G. Udayagiri,M.Cl.,27,Maharashtra,3,Jalgaon
1409,G.C.F Jabalpur,C.T.,32,Kerala,2,Kannur
1410,Gabberia,T.P.,33,Tamil Nadu,30,Kanniyakumari
1411,Gadag-Betigeri,C.T.,32,Kerala,10,Kottayam
1412,Gadarpur,N.P.,9,Uttar Pradesh,36,Jhansi
1413,Gadarwara,T.P.,33,Tamil Nadu,13,Dindigul
1414,Gadchiroli,M,33,Tamil Nadu,10,Erode
1415,Gaddi annaram,T.P.,33,Tamil Nadu,9,Namakkal
1416,Gadhada,T.P.,33,Tamil Nadu,29,Tirunelveli
1417,Gadhinglaj,M.B.,9,Uttar Pradesh,17,Etah
1418,Gadhra,M.B.,9,Uttar Pradesh,31,Etawah
1419,Gadwal,T.P.,33,Tamil Nadu,8,Salem
1420,Gagret,M.B.,9,Uttar Pradesh,15,Agra
1421,Gairatganj,T.P.,33,Tamil Nadu,28,Toothukudi
1422,Gairkata,T.P.,33,Tamil Nadu,12,Coimbatore
1423,Gajapathinagaram,T.P.,33,Tamil Nadu,30,Kanniyakumari
1424,Gajendragarh,M.B.,9,Uttar Pradesh,47,Faizabad
1425,Gajraula,C.B.,9,Uttar Pradesh,47,Faizabad
1426,Gajsinghpur,N.P.,9,Uttar Pradesh,19,Budaun
1427,Gajularega,M.Cl.,27,Maharashtra,3,Jalgaon
1428,Gajuwaka,C.T.,19,West Bengal,2,Jalpaiguri 
1429,Gakulnagar,N.P.,9,Uttar Pradesh,14,Mathura
1430,Galiakot,C.T.,6,Haryana,3,Yamunanagar
1431,Ganapathipuram,M.Corp.,6,Haryana,19,Faridabad
1432,Ganaur,M.Cl.,3,Punjab,13,Faridkot
1433,Gandai,N.P.,9,Uttar Pradesh,9,Ghaziabad
1434,Ganderbal,N.P.,9,Uttar Pradesh,20,Bareilly
1435,Gandevi,M.B.,9,Uttar Pradesh,20,Bareilly
1436,Gandhi Nagar(Katpadi Ext.),N.P.,9,Uttar Pradesh,16,Firozabad
1437,Gandhidham,C.T.,28,Andhra Pradesh,7,Mahbubnagar
1438,Gandhigram,C.T.,19,West Bengal,7,Murshidabad 
1439,Gandhinagar,M.B.,9,Uttar Pradesh,29,Farrukhabad
1440,Ganeshpur,M.C,6,Haryana,18,Gurgaon
1441,Gangaghat,M.C.,6,Haryana,10,Fatehabad
1442,Gangaikondan,N.P.,9,Uttar Pradesh,15,Agra
1443,Gangakhed,N.P.,9,Uttar Pradesh,20,Bareilly
1444,Ganganagar,N.P.,9,Uttar Pradesh,20,Bareilly
1445,Gangapur,C.B.,9,Uttar Pradesh,29,Farrukhabad
1446,Gangapur City,M.Cl.,3,Punjab,1,Gurdaspur
1447,Gangarampur,M,8,Rajasthan,26,Udaipur
1448,Gangavalli,M,8,Rajasthan,13,Sikar
1449,Gangawati,M.B.,9,Uttar Pradesh,42,Fatehpur
1450,Gangoh,N.P.,9,Uttar Pradesh,46,Barabanki
1451,Gangotri,N.P.,9,Uttar Pradesh,26,Unnao
1452,Gangtok,M.B.,9,Uttar Pradesh,15,Agra
1453,Ganguvarpatti,C.T.,19,West Bengal,7,Murshidabad 
1454,Ganj Dundawara,N.A.,10,Bihar,28,Patna
1455,Ganj Muradabad,M.Cl.,3,Punjab,11,Firozpur
1456,Ganjam,C.T.,32,Kerala,4,Kozhikode
1457,Garacharma,M.C,6,Haryana,18,Gurgaon
1458,Garalgachha,C.T.,21,Orissa,15,Anugul
1459,Garautha,M.Cl.,3,Punjab,11,Firozpur
1460,Gardhiwala,M.B.,9,Uttar Pradesh,16,Firozabad
1461,Garhakota,C.B.,3,Punjab,11,Firozpur
1462,Garhi Pukhta,M,10,Bihar,7,Araria
1463,Garhi-Malhara,C.T.,24,Gujarat,18,Dohad
1464,Garhmukteshwar,C.T.,22,Chhattisgarh,15,Bastar
1465,Garhshanker,C.T.,5,Uttaranchal,5,Dehradun
1466,Garhwa,N.A.C.,21,Orissa,21,Kandhamal
1467,Gariadhar,C.T.,23,Madhya Pradesh,39,Jabalpur
1468,Garoth,C.T.,19,West Bengal,16,Haora 
1469,Garshyamnagar,C.M.C,29,Karnataka,8,Gadag
1470,Garulia,M.B.,5,Uttaranchal,12,Udham Singh Nagar
