Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
1639,Halol,N.P.,9,Uttar Pradesh,14,Mathura
1640,Haludbani,C.T.,8,Rajasthan,6,Alwar
1641,Halvad,N.P.,23,Madhya Pradesh,14,Rewa
1642,Hamirpur,M.Corp.,27,Maharashtra,22 & 23,Mumbai (Suburban) and Mumbai
1643,Hamren,I.N.A.,24,Gujarat,19,Vadodara
1644,Handia,C.T.,20,Jharkhand,17,Pashchimi Singhbhum
1645,Handiaya,T.P.,29,Karnataka,18,Tumkur
1646,Handwara,T.P.,33,Tamil Nadu,11,The Nilgiris
1647,Hangal,T.P.,33,Tamil Nadu,12,Coimbatore
1648,Hansi,T.P.,33,Tamil Nadu,25,Theni
1649,Hanumana,N.A.C.,21,Orissa,27,Rayagada
1650,Hanumangarh,T.P.,29,Karnataka,19,Kolar
1651,Hanumanthampatti,C.T.,28,Andhra Pradesh,13,Visakhapatnam
1652,Haora,M,28,Andhra Pradesh,16,Krishna
1653,Hapur,M,33,Tamil Nadu,4,Vellore
